serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
87,BRITANNIA,BRITANNIA,,FUT,NSE,,INR,20190725,,,200,,2,50.0,DATA
88,CADILAHC,CADILAHC,,FUT,NSE,,INR,20190725,,,1600,,2,5.0,DATA
89,LT,LT,,FUT,NSE,,INR,20190725,,,375,,2,20.0,DATA
90,GRASIM,GRASIM,,FUT,NSE,,INR,20190725,,,750,,2,20.0,DATA
91,ADANIPOWE,ADANIPOWER,,FUT,NSE,,INR,20190725,,,20000,,2,2.5,DATA
92,MINDTREE,MINDTREE,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
93,SHREECEM,SHREECEM,,FUT,NSE,,INR,20190725,,,50,,2,250.0,DATA
94,SBIN,SBIN,,FUT,NSE,,INR,20190725,,,3000,,2,5.0,DATA
95,MARUTI,MARUTI,,FUT,NSE,,INR,20190725,,,75,,2,100.0,DATA
96,RECLTD,RECLTD,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
97,MFSL,MFSL,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
98,WIPRO,WIPRO,,FUT,NSE,,INR,20190725,,,3200,,2,5.0,DATA
99,HDFC,HDFC,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
100,NESTLEIND,NESTLEIND,,FUT,NSE,,INR,20190725,,,50,,2,100.0,DATA
101,ADANIPORT,ADANIPORTS,,FUT,NSE,,INR,20190725,,,2500,,2,10.0,DATA
102,INFY,INFY,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
103,ENGINERSI,ENGINERSIN,,FUT,NSE,,INR,20190725,,,4600,,2,2.5,DATA
104,BAJAJFINS,BAJAJFINSV,,FUT,NSE,,INR,20190725,,,125,,2,100.0,DATA
105,BSOFT,BSOFT,,FUT,NSE,,INR,20190725,,,5100,,2,5.0,DATA
106,TORNTPOWE,TORNTPOWER,,FUT,NSE,,INR,20190725,,,3000,,2,5.0,DATA
107,DISHTV,DISHTV,,FUT,NSE,,INR,20190725,,,14000,,2,2.5,DATA
108,SIEMENS,SIEMENS,,FUT,NSE,,INR,20190725,,,550,,2,20.0,DATA
109,HCLTECH,HCLTECH,,FUT,NSE,,INR,20190725,,,700,,2,20.0,DATA
110,CUMMINSIN,CUMMINSIND,,FUT,NSE,,INR,20190725,,,700,,2,20.0,DATA
111,MCDOWELL-,MCDOWELL-N,,FUT,NSE,,INR,20190725,,,1250,,2,10.0,DATA
112,BIOCON,BIOCON,,FUT,NSE,,INR,20190725,,,1800,,2,10.0,DATA
113,OIL,OIL,,FUT,NSE,,INR,20190725,,,3399,,2,2.5,DATA
114,JUSTDIAL,JUSTDIAL,,FUT,NSE,,INR,20190725,,,1400,,2,20.0,DATA
115,TECHM,TECHM,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
116,DLF,DLF,,FUT,NSE,,INR,20190725,,,2800,,2,5.0,DATA
117,TCS,TCS,,FUT,NSE,,INR,20190725,,,250,,2,20.0,DATA
118,AMBUJACEM,AMBUJACEM,,FUT,NSE,,INR,20190725,,,2500,,2,5.0,DATA
119,SRF,SRF,,FUT,NSE,,INR,20190725,,,250,,2,50.0,DATA
120,CHOLAFIN,CHOLAFIN,,FUT,NSE,,INR,20190725,,,2500,,2,692.0,DATA
121,APOLLOTYR,APOLLOTYRE,,FUT,NSE,,INR,20190725,,,3000,,2,5.0,DATA
122,COLPAL,COLPAL,,FUT,NSE,,INR,20190725,,,700,,2,20.0,DATA
123,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20190725,,,250,,2,20.0,DATA
124,JUBLFOOD,JUBLFOOD,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
125,ARVIND,ARVIND,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
126,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20190725,,,4500,,2,2.5,DATA
127,GMRINFRA,GMRINFRA,,FUT,NSE,,INR,20190725,,,45000,,2,1.0,DATA
128,RAMCOCEM,RAMCOCEM,,FUT,NSE,,INR,20190725,,,800,,2,10.0,DATA
129,VOLTAS,VOLTAS,,FUT,NSE,,INR,20190725,,,1000,,2,10.0,DATA
130,AXISBANK,AXISBANK,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
131,RELINFRA,RELINFRA,,FUT,NSE,,INR,20190725,,,4000,,2,5.0,DATA
132,MUTHOOTFI,MUTHOOTFIN,,FUT,NSE,,INR,20190725,,,1500,,2,10.0,DATA
133,KAJARIACE,KAJARIACER,,FUT,NSE,,INR,20190725,,,1300,,2,10.0,DATA
134,IDEA,IDEA,,FUT,NSE,,INR,20190725,,,28000,,2,1.0,DATA
135,JSWSTEEL,JSWSTEEL,,FUT,NSE,,INR,20190725,,,2000,,2,5.0,DATA
136,MMFIN,M&MFIN,,FUT,NSE,,INR,20190725,,,1250,,2,10.0,DATA
137,SAIL,SAIL,,FUT,NSE,,INR,20190725,,,12000,,2,1.0,DATA
138,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
139,BATAINDIA,BATAINDIA,,FUT,NSE,,INR,20190725,,,550,,2,20.0,DATA
140,ULTRACEMC,ULTRACEMCO,,FUT,NSE,,INR,20190725,,,200,,2,100.0,DATA
141,TVSMOTOR,TVSMOTOR,,FUT,NSE,,INR,20190725,,,1100,,2,10.0,DATA
142,IOC,IOC,,FUT,NSE,,INR,20190725,,,3500,,2,2.5,DATA
143,ADANIENT,ADANIENT,,FUT,NSE,,INR,20190725,,,4000,,2,5.0,DATA
144,ONGC,ONGC,,FUT,NSE,,INR,20190725,,,3750,,2,2.5,DATA
145,BOSCHLTD,BOSCHLTD,,FUT,NSE,,INR,20190725,,,30,,2,250.0,DATA
146,GLENMARK,GLENMARK,,FUT,NSE,,INR,20190725,,,1000,,2,10.0,DATA
147,HAVELLS,HAVELLS,,FUT,NSE,,INR,20190725,,,1000,,2,10.0,DATA
148,HINDZINC,HINDZINC,,FUT,NSE,,INR,20190725,,,3200,,2,5.0,DATA
149,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20190725,,,400,,2,20.0,DATA
150,PETRONET,PETRONET,,FUT,NSE,,INR,20190725,,,3000,,2,5.0,DATA
151,FEDERALBN,FEDERALBNK,,FUT,NSE,,INR,20190725,,,7000,,2,2.5,DATA
152,BHARATFOR,BHARATFORG,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
153,LICHSGFIN,LICHSGFIN,,FUT,NSE,,INR,20190725,,,1100,,2,10.0,DATA
154,IGL,IGL,,FUT,NSE,,INR,20190725,,,2750,,2,5.0,DATA
155,TATAGLOBA,TATAGLOBAL,,FUT,NSE,,INR,20190725,,,2700,,2,5.0,DATA
156,ESCORTS,ESCORTS,,FUT,NSE,,INR,20190725,,,1100,,2,20.0,DATA
157,MGL,MGL,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
158,RBLBANK,RBLBANK,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
159,MM,M&M,,FUT,NSE,,INR,20190725,,,1000,,2,10.0,DATA
160,PEL,PEL,,FUT,NSE,,INR,20190725,,,302,,2,50.0,DATA
161,APOLLOHOS,APOLLOHOSP,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
162,YESBANK,YESBANK,,FUT,NSE,,INR,20190725,,,2200,,2,10.0,DATA
163,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20190829,,,1,,1,100.0,DATA
164,UJJIVAN,UJJIVAN,,FUT,NSE,,INR,20190829,,,1600,,2,10.0,DATA
165,EICHERMOT,EICHERMOT,,FUT,NSE,,INR,20190829,,,25,,2,500.0,DATA
166,TATACHEM,TATACHEM,,FUT,NSE,,INR,20190829,,,900,,2,10.0,DATA
167,PNB,PNB,,FUT,NSE,,INR,20190829,,,7000,,2,2.5,DATA
168,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20190829,,,300,,2,20.0,DATA
169,AUROPHARM,AUROPHARMA,,FUT,NSE,,INR,20190829,,,1000,,2,10.0,DATA
170,MANAPPURA,MANAPPURAM,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
171,PFC,PFC,,FUT,NSE,,INR,20190829,,,6200,,2,2.5,DATA
172,PVR,PVR,,FUT,NSE,,INR,20190829,,,400,,2,20.0,DATA
173,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20190829,,,3000,,2,5.0,DATA
174,UPL,UPL,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
175,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20190829,,,400,,2,30.0,DATA
176,CONCOR,CONCOR,,FUT,NSE,,INR,20190829,,,1563,,2,10.0,DATA
177,SUNTV,SUNTV,,FUT,NSE,,INR,20190829,,,1000,,2,20.0,DATA
178,AMARAJABA,AMARAJABAT,,FUT,NSE,,INR,20190829,,,700,,2,10.0,DATA
179,LUPIN,LUPIN,,FUT,NSE,,INR,20190829,,,700,,2,10.0,DATA
180,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20190829,,,1100,,2,10.0,DATA
181,NTPC,NTPC,,FUT,NSE,,INR,20190829,,,4800,,2,2.5,DATA
182,DABUR,DABUR,,FUT,NSE,,INR,20190829,,,1250,,2,5.0,DATA
183,ASHOKLEY,ASHOKLEY,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
184,NIITTECH,NIITTECH,,FUT,NSE,,INR,20190829,,,750,,2,20.0,DATA
185,BPCL,BPCL,,FUT,NSE,,INR,20190829,,,1800,,2,10.0,DATA
186,RELCAPITA,RELCAPITAL,,FUT,NSE,,INR,20190829,,,3000,,2,10.0,DATA
187,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20190829,,,9000,,2,1.0,DATA
188,JINDALSTE,JINDALSTEL,,FUT,NSE,,INR,20190829,,,3200,,2,5.0,DATA
189,POWERGRID,POWERGRID,,FUT,NSE,,INR,20190829,,,4000,,2,2.5,DATA
190,ICICIPRUL,ICICIPRULI,,FUT,NSE,,INR,20190829,,,1500,,2,10.0,DATA
191,CESC,CESC,,FUT,NSE,,INR,20190829,,,800,,2,20.0,DATA
192,EXIDEIND,EXIDEIND,,FUT,NSE,,INR,20190829,,,2400,,2,5.0,DATA
193,INDIGO,INDIGO,,FUT,NSE,,INR,20190829,,,600,,2,50.0,DATA
194,TITAN,TITAN,,FUT,NSE,,INR,20190829,,,750,,2,20.0,DATA
195,NCC,NCC,,FUT,NSE,,INR,20190829,,,8000,,2,2.5,DATA
196,NBCC,NBCC,,FUT,NSE,,INR,20190829,,,8500,,2,2.5,DATA
197,BAJAJ-AUT,BAJAJ-AUTO,,FUT,NSE,,INR,20190829,,,250,,2,50.0,DATA
198,PAGEIND,PAGEIND,,FUT,NSE,,INR,20190829,,,25,,2,500.0,DATA
199,CANBK,CANBK,,FUT,NSE,,INR,20190829,,,2000,,2,5.0,DATA
200,BAJFINANC,BAJFINANCE,,FUT,NSE,,INR,20190829,,,250,,2,50.0,DATA
201,INFRATEL,INFRATEL,,FUT,NSE,,INR,20190829,,,2000,,2,10.0,DATA
202,ZEEL,ZEEL,,FUT,NSE,,INR,20190829,,,1300,,2,20.0,DATA
203,HINDALCO,HINDALCO,,FUT,NSE,,INR,20190829,,,3500,,2,2.5,DATA
204,RELIANCE,RELIANCE,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
205,LTFH,L&TFH,,FUT,NSE,,INR,20190829,,,4500,,2,2.5,DATA
206,CASTROLIN,CASTROLIND,,FUT,NSE,,INR,20190829,,,3400,,2,2.5,DATA
207,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20190829,,,1375,,2,5.0,DATA
208,MRF,MRF,,FUT,NSE,,INR,20190829,,,10,,2,500.0,DATA
209,BANKINDIA,BANKINDIA,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
210,DRREDDY,DRREDDY,,FUT,NSE,,INR,20190829,,,250,,2,100.0,DATA
211,NATIONALU,NATIONALUM,,FUT,NSE,,INR,20190829,,,10000,,2,1.0,DATA
212,HINDPETRO,HINDPETRO,,FUT,NSE,,INR,20190829,,,2100,,2,5.0,DATA
213,TATAELXSI,TATAELXSI,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
214,CIPLA,CIPLA,,FUT,NSE,,INR,20190829,,,1000,,2,10.0,DATA
215,EQUITAS,EQUITAS,,FUT,NSE,,INR,20190829,,,4000,,2,2.5,DATA
216,DIVISLAB,DIVISLAB,,FUT,NSE,,INR,20190829,,,400,,2,20.0,DATA
217,TATAMTRDV,TATAMTRDVR,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
218,OFSS,OFSS,,FUT,NSE,,INR,20190829,,,150,,2,50.0,DATA
219,COALINDIA,COALINDIA,,FUT,NSE,,INR,20190829,,,2200,,2,5.0,DATA
220,RAYMOND,RAYMOND,,FUT,NSE,,INR,20190829,,,800,,2,20.0,DATA
221,BHARATFIN,BHARATFIN,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
222,CENTURYTE,CENTURYTEX,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
223,IDFCFIRST,IDFCFIRSTB,,FUT,NSE,,INR,20190829,,,12000,,2,1.0,DATA
224,NMDC,NMDC,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
225,GAIL,GAIL,,FUT,NSE,,INR,20190829,,,2667,,2,5.0,DATA
226,UBL,UBL,,FUT,NSE,,INR,20190829,,,700,,2,20.0,DATA
227,UNIONBANK,UNIONBANK,,FUT,NSE,,INR,20190829,,,7000,,2,2.5,DATA
228,VEDL,VEDL,,FUT,NSE,,INR,20190829,,,3000,,2,5.0,DATA
229,ACC,ACC,,FUT,NSE,,INR,20190829,,,400,,2,20.0,DATA
230,GODREJCP,GODREJCP,,FUT,NSE,,INR,20190829,,,800,,2,10.0,DATA
231,MARICO,MARICO,,FUT,NSE,,INR,20190829,,,2600,,2,5.0,DATA
232,BEL,BEL,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
233,HEXAWARE,HEXAWARE,,FUT,NSE,,INR,20190829,,,1500,,2,5.0,DATA
234,DHFL,DHFL,,FUT,NSE,,INR,20190829,,,4000,,2,10.0,DATA
235,PIDILITIN,PIDILITIND,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
236,HEROMOTOC,HEROMOTOCO,,FUT,NSE,,INR,20190829,,,200,,2,50.0,DATA
237,BERGEPAIN,BERGEPAINT,,FUT,NSE,,INR,20190829,,,2200,,2,5.0,DATA
238,BHEL,BHEL,,FUT,NSE,,INR,20190829,,,7500,,2,1.0,DATA
239,STAR,STAR,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
240,BALKRISIN,BALKRISIND,,FUT,NSE,,INR,20190829,,,800,,2,20.0,DATA
241,ITC,ITC,,FUT,NSE,,INR,20190829,,,2400,,2,2.5,DATA
242,TORNTPHAR,TORNTPHARM,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
243,SRTRANSFI,SRTRANSFIN,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
244,IBULHSGFI,IBULHSGFIN,,FUT,NSE,,INR,20190829,,,800,,2,20.0,DATA
245,IDBI,IDBI,,FUT,NSE,,INR,20190829,,,12000,,2,1.0,DATA
246,MOTHERSUM,MOTHERSUMI,,FUT,NSE,,INR,20190829,,,3300,,2,5.0,DATA
247,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20190829,,,1061,,2,10.0,DATA
248,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20190829,,,1851,,2,10.0,DATA
249,MCX,MCX,,FUT,NSE,,INR,20190829,,,700,,2,10.0,DATA
250,BRITANNIA,BRITANNIA,,FUT,NSE,,INR,20190829,,,200,,2,50.0,DATA
251,CADILAHC,CADILAHC,,FUT,NSE,,INR,20190829,,,1600,,2,5.0,DATA
252,LT,LT,,FUT,NSE,,INR,20190829,,,375,,2,20.0,DATA
253,GRASIM,GRASIM,,FUT,NSE,,INR,20190829,,,750,,2,20.0,DATA
254,ADANIPOWE,ADANIPOWER,,FUT,NSE,,INR,20190829,,,20000,,2,2.5,DATA
255,MINDTREE,MINDTREE,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
256,SBIN,SBIN,,FUT,NSE,,INR,20190829,,,3000,,2,5.0,DATA
257,SHREECEM,SHREECEM,,FUT,NSE,,INR,20190829,,,50,,2,250.0,DATA
258,MARUTI,MARUTI,,FUT,NSE,,INR,20190829,,,75,,2,100.0,DATA
259,RECLTD,RECLTD,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
260,MFSL,MFSL,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
261,WIPRO,WIPRO,,FUT,NSE,,INR,20190829,,,3200,,2,5.0,DATA
262,HDFC,HDFC,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
263,NESTLEIND,NESTLEIND,,FUT,NSE,,INR,20190829,,,50,,2,100.0,DATA
264,ADANIPORT,ADANIPORTS,,FUT,NSE,,INR,20190829,,,2500,,2,10.0,DATA
265,INFY,INFY,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
266,BAJAJFINS,BAJAJFINSV,,FUT,NSE,,INR,20190829,,,125,,2,100.0,DATA
267,ENGINERSI,ENGINERSIN,,FUT,NSE,,INR,20190829,,,4600,,2,2.5,DATA
268,BSOFT,BSOFT,,FUT,NSE,,INR,20190829,,,5100,,2,5.0,DATA
269,TORNTPOWE,TORNTPOWER,,FUT,NSE,,INR,20190829,,,3000,,2,5.0,DATA
270,DISHTV,DISHTV,,FUT,NSE,,INR,20190829,,,14000,,2,2.5,DATA
271,SIEMENS,SIEMENS,,FUT,NSE,,INR,20190829,,,550,,2,20.0,DATA
272,CUMMINSIN,CUMMINSIND,,FUT,NSE,,INR,20190829,,,700,,2,20.0,DATA
273,HCLTECH,HCLTECH,,FUT,NSE,,INR,20190829,,,700,,2,20.0,DATA
274,MCDOWELL-,MCDOWELL-N,,FUT,NSE,,INR,20190829,,,1250,,2,10.0,DATA
275,OIL,OIL,,FUT,NSE,,INR,20190829,,,3399,,2,2.5,DATA
276,BIOCON,BIOCON,,FUT,NSE,,INR,20190829,,,1800,,2,40.0,DATA
277,JUSTDIAL,JUSTDIAL,,FUT,NSE,,INR,20190829,,,1400,,2,20.0,DATA
278,TECHM,TECHM,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
279,DLF,DLF,,FUT,NSE,,INR,20190829,,,2800,,2,5.0,DATA
280,TCS,TCS,,FUT,NSE,,INR,20190829,,,250,,2,20.0,DATA
281,SRF,SRF,,FUT,NSE,,INR,20190829,,,250,,2,50.0,DATA
282,CHOLAFIN,CHOLAFIN,,FUT,NSE,,INR,20190829,,,2500,,2,752.0,DATA
283,APOLLOTYR,APOLLOTYRE,,FUT,NSE,,INR,20190829,,,3000,,2,5.0,DATA
284,COLPAL,COLPAL,,FUT,NSE,,INR,20190829,,,700,,2,20.0,DATA
285,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20190829,,,250,,2,20.0,DATA
