serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
0,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20190725,,,1,,1,100.0,DATA
1,UJJIVAN,UJJIVAN,,FUT,NSE,,INR,20190725,,,1600,,2,10.0,DATA
2,EICHERMOT,EICHERMOT,,FUT,NSE,,INR,20190725,,,25,,2,500.0,DATA
3,PNB,PNB,,FUT,NSE,,INR,20190725,,,7000,,2,2.5,DATA
4,TATACHEM,TATACHEM,,FUT,NSE,,INR,20190725,,,900,,2,10.0,DATA
5,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20190725,,,300,,2,20.0,DATA
6,AUROPHARM,AUROPHARMA,,FUT,NSE,,INR,20190725,,,1000,,2,10.0,DATA
7,MANAPPURA,MANAPPURAM,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
8,PFC,PFC,,FUT,NSE,,INR,20190725,,,6200,,2,2.5,DATA
9,PVR,PVR,,FUT,NSE,,INR,20190725,,,400,,2,20.0,DATA
10,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20190725,,,3000,,2,5.0,DATA
11,UPL,UPL,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
12,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20190725,,,400,,2,20.0,DATA
13,CONCOR,CONCOR,,FUT,NSE,,INR,20190725,,,1563,,2,10.0,DATA
14,SUNTV,SUNTV,,FUT,NSE,,INR,20190725,,,1000,,2,20.0,DATA
15,AMARAJABA,AMARAJABAT,,FUT,NSE,,INR,20190725,,,700,,2,10.0,DATA
16,LUPIN,LUPIN,,FUT,NSE,,INR,20190725,,,700,,2,10.0,DATA
17,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20190725,,,1100,,2,10.0,DATA
18,NTPC,NTPC,,FUT,NSE,,INR,20190725,,,4800,,2,2.5,DATA
19,DABUR,DABUR,,FUT,NSE,,INR,20190725,,,1250,,2,5.0,DATA
20,ASHOKLEY,ASHOKLEY,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
21,NIITTECH,NIITTECH,,FUT,NSE,,INR,20190725,,,750,,2,20.0,DATA
22,BPCL,BPCL,,FUT,NSE,,INR,20190725,,,1800,,2,10.0,DATA
23,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20190725,,,9000,,2,1.0,DATA
24,RELCAPITA,RELCAPITAL,,FUT,NSE,,INR,20190725,,,3000,,2,10.0,DATA
25,POWERGRID,POWERGRID,,FUT,NSE,,INR,20190725,,,4000,,2,2.5,DATA
26,JINDALSTE,JINDALSTEL,,FUT,NSE,,INR,20190725,,,3200,,2,5.0,DATA
27,ICICIPRUL,ICICIPRULI,,FUT,NSE,,INR,20190725,,,1500,,2,10.0,DATA
28,CESC,CESC,,FUT,NSE,,INR,20190725,,,800,,2,20.0,DATA
29,EXIDEIND,EXIDEIND,,FUT,NSE,,INR,20190725,,,2400,,2,5.0,DATA
30,INDIGO,INDIGO,,FUT,NSE,,INR,20190725,,,600,,2,50.0,DATA
31,TITAN,TITAN,,FUT,NSE,,INR,20190725,,,750,,2,20.0,DATA
32,NCC,NCC,,FUT,NSE,,INR,20190725,,,8000,,2,2.5,DATA
33,NBCC,NBCC,,FUT,NSE,,INR,20190725,,,8500,,2,2.5,DATA
34,BAJAJ-AUT,BAJAJ-AUTO,,FUT,NSE,,INR,20190725,,,250,,2,50.0,DATA
35,PAGEIND,PAGEIND,,FUT,NSE,,INR,20190725,,,25,,2,500.0,DATA
36,CANBK,CANBK,,FUT,NSE,,INR,20190725,,,2000,,2,5.0,DATA
37,BAJFINANC,BAJFINANCE,,FUT,NSE,,INR,20190725,,,250,,2,50.0,DATA
38,INFRATEL,INFRATEL,,FUT,NSE,,INR,20190725,,,2000,,2,10.0,DATA
39,ZEEL,ZEEL,,FUT,NSE,,INR,20190725,,,1300,,2,20.0,DATA
40,HINDALCO,HINDALCO,,FUT,NSE,,INR,20190725,,,3500,,2,2.5,DATA
41,LTFH,L&TFH,,FUT,NSE,,INR,20190725,,,4500,,2,2.5,DATA
42,RELIANCE,RELIANCE,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
43,CASTROLIN,CASTROLIND,,FUT,NSE,,INR,20190725,,,3400,,2,2.5,DATA
44,MRF,MRF,,FUT,NSE,,INR,20190725,,,10,,2,500.0,DATA
45,BANKINDIA,BANKINDIA,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
46,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20190725,,,1375,,2,5.0,DATA
47,DRREDDY,DRREDDY,,FUT,NSE,,INR,20190725,,,250,,2,100.0,DATA
48,NATIONALU,NATIONALUM,,FUT,NSE,,INR,20190725,,,10000,,2,1.0,DATA
49,HINDPETRO,HINDPETRO,,FUT,NSE,,INR,20190725,,,2100,,2,5.0,DATA
50,TATAELXSI,TATAELXSI,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
51,CIPLA,CIPLA,,FUT,NSE,,INR,20190725,,,1000,,2,10.0,DATA
52,EQUITAS,EQUITAS,,FUT,NSE,,INR,20190725,,,4000,,2,2.5,DATA
53,DIVISLAB,DIVISLAB,,FUT,NSE,,INR,20190725,,,400,,2,20.0,DATA
54,OFSS,OFSS,,FUT,NSE,,INR,20190725,,,150,,2,50.0,DATA
55,TATAMTRDV,TATAMTRDVR,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
56,COALINDIA,COALINDIA,,FUT,NSE,,INR,20190725,,,2200,,2,5.0,DATA
57,RAYMOND,RAYMOND,,FUT,NSE,,INR,20190725,,,800,,2,20.0,DATA
58,BHARATFIN,BHARATFIN,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
59,CENTURYTE,CENTURYTEX,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
60,IDFCFIRST,IDFCFIRSTB,,FUT,NSE,,INR,20190725,,,12000,,2,1.0,DATA
61,NMDC,NMDC,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
62,GAIL,GAIL,,FUT,NSE,,INR,20190725,,,2667,,2,5.0,DATA
63,UBL,UBL,,FUT,NSE,,INR,20190725,,,700,,2,20.0,DATA
64,UNIONBANK,UNIONBANK,,FUT,NSE,,INR,20190725,,,7000,,2,2.5,DATA
65,VEDL,VEDL,,FUT,NSE,,INR,20190725,,,3000,,2,5.0,DATA
66,ACC,ACC,,FUT,NSE,,INR,20190725,,,400,,2,20.0,DATA
67,GODREJCP,GODREJCP,,FUT,NSE,,INR,20190725,,,800,,2,10.0,DATA
68,MARICO,MARICO,,FUT,NSE,,INR,20190725,,,2600,,2,5.0,DATA
69,BEL,BEL,,FUT,NSE,,INR,20190725,,,6000,,2,2.5,DATA
70,HEXAWARE,HEXAWARE,,FUT,NSE,,INR,20190725,,,1500,,2,5.0,DATA
71,DHFL,DHFL,,FUT,NSE,,INR,20190725,,,4000,,2,10.0,DATA
72,PIDILITIN,PIDILITIND,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
73,HEROMOTOC,HEROMOTOCO,,FUT,NSE,,INR,20190725,,,200,,2,50.0,DATA
74,BERGEPAIN,BERGEPAINT,,FUT,NSE,,INR,20190725,,,2200,,2,5.0,DATA
75,BHEL,BHEL,,FUT,NSE,,INR,20190725,,,7500,,2,1.0,DATA
76,STAR,STAR,,FUT,NSE,,INR,20190725,,,1200,,2,10.0,DATA
77,BALKRISIN,BALKRISIND,,FUT,NSE,,INR,20190725,,,800,,2,20.0,DATA
78,ITC,ITC,,FUT,NSE,,INR,20190725,,,2400,,2,2.5,DATA
79,TORNTPHAR,TORNTPHARM,,FUT,NSE,,INR,20190725,,,500,,2,20.0,DATA
80,SRTRANSFI,SRTRANSFIN,,FUT,NSE,,INR,20190725,,,600,,2,20.0,DATA
81,IBULHSGFI,IBULHSGFIN,,FUT,NSE,,INR,20190725,,,800,,2,20.0,DATA
82,IDBI,IDBI,,FUT,NSE,,INR,20190725,,,12000,,2,1.0,DATA
83,MOTHERSUM,MOTHERSUMI,,FUT,NSE,,INR,20190725,,,3300,,2,5.0,DATA
84,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20190725,,,1061,,2,10.0,DATA
85,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20190725,,,1851,,2,10.0,DATA
86,MCX,MCX,,FUT,NSE,,INR,20190725,,,700,,2,10.0,DATA
